"","Таблица кодов ТН ВЭД ЕАЭС по импорту","","","","","",""
"9","8501109300","ПРОЧИЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","","11%","",""
"10","8501109900","ПРОЧИЕ ДВИГАТЕЛИ ПОСТОЯННОГО ТОКА НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","ЭЛЕКТРОДВИГАТЕЛЬ ПОСТОЯНОГО ТОКА (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ НЕ БОЛЕЕ 37,5 ВТ","","11%","",""
"11","8501330005","ДВИГАТЕЛИ ПОСТОЯННОГО ТОКА НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 75 КВТ, НО НЕ БОЛЕЕ 100 КВТ, ПРОЧИЕ","ЭЛЕКТРОДВИГАТЕЛЬ ПОСТОЯНОГО ТОКА (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ  БОЛЕЕ 75 КВТ, НО НЕ БОЛЕЕ 100 КВТ","","15%","",""
"12","8501340000","ДВИГАТЕЛИ ПОСТОЯННОГО ТОКА; ГЕНЕРАТОРЫ ПОСТОЯННОГО ТОКА: НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 375 КВТ","ЭЛЕКТРОДВИГАТЕЛЬ ПОСТОЯНОГО ТОКА (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 375 КВТ ","","0%","",""
"13","8501408002","ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА ОДНОФАЗНЫЕ ПРОЧИЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 750 ВТ, АСИНХРОННЫЕ С ВЫСОТОЙ ОСИ ВРАЩЕНИЯ 250 ММ","ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА ОДНОФАЗНЫЙ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 750 ВТ, АСИНХРОННЫЕС ВЫСОТОЙ ОСИ ВРАЩЕНИЯ 250 ММ ","","14%","",""
"14","8501408009","ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА ОДНОФАЗНЫЕ ПРОЧИЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 750 ВТ, ПРОЧИЕ (КР. АСИНХРОННЫЕ С ВЫСОТОЙ ОСИ ВРАЩЕНИЯ 250 ММ)","ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА ОДНОФАЗНЫЙ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 750 ВТ","","0%","",""
"15","8501510001","АСИНХРОННЫЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ НЕ БОЛЕЕ 750 ВТ","АСИНХРОННЫЙ ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЙ  (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ НЕ БОЛЕЕ 750 ВТ","","5%","",""
"16","8501522001","АСИНХРОННЫЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 750 ВТ, НО НЕ БОЛЕЕ 7,5 КВТ","АСИНХРОННЫЙ ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЙ  (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 750 ВТ, НО НЕ БОЛЕЕ 7,5 КВТ","","5%","",""
"17","8501529002","ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ ПРОЧИЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 37 КВТ, НО НЕ БОЛЕЕ 75 КВТ, АСИНХРОННЫЕ С ВЫСОТОЙ ОСИ ВРАЩЕНИЯ 250 ММ","АСИНХРОННЫЙ ЭЛЕКТРОДВИГАТЕЛЬ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЙ  (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 37 КВТ, НО НЕ БОЛЕЕ 75 КВТ, АСИНХРОННЫЕ С ВЫСОТОЙ ОСИ ВРАЩЕНИЯ 250 ММ","","10%","",""
"18","8501535000","ТЯГОВЫЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ ПРОЧИЕ, НОМИНАЛЬНОЙ ВЫХОДНОЙ МОЩНОСТЬЮ БОЛЕЕ 75 КВТ","ТЯГОВЫЕ ДВИГАТЕЛИ ПЕРЕМЕННОГО ТОКА МНОГОФАЗНЫЕ (МОТОР, МОТОР-РЕДУКТОР), МОЩНОСТЬЮ БОЛЕЕ 75 КВТ","","0%","",""
"19","8483908909","ЗУБЧАТЫЕ КОЛЕСА, ЦЕПНЫЕ ЗВЕЗДОЧКИ И ДРУГИЕ ЭЛЕМЕНТЫ ПЕРЕДАЧ, ПРЕДСТАВЛЕННЫЕ ОТДЕЛЬНО, ЧАСТИ ПРОЧИЕ","СТАЛЬНОЕ ИЛИ ЧУГУННОЕ ЗУБЧАТОЕ КОЛЕСО, ШЕСТЕРНЯ (СПОСОБ ИЗГОТОВЛЕНИЯ ПОКОВНА И МЕХ.ОБРАБОТКА)","ВТУЛКА, ШЕСТЕРНЯ, КОЛЕСО ЧЕРВЯЧНОЕ, КОЛЕСО ЗУБЧАТОЕ, ВОДИЛО, ШЕСТЕРНЯ РЕДУКТОРА","3%","",""
"20","8483908100","ЗУБЧАТЫЕ КОЛЕСА, ЦЕПНЫЕ ЗВЕЗДОЧКИ И ДРУГИЕ ЭЛЕМЕНТЫ ПЕРЕДАЧ, ПРЕДСТАВЛЕННЫЕ ОТДЕЛЬНО, ЧАСТИ ПРОЧИЕ, ЧУГУННЫЕ ЛИТЫЕ ИЛИ СТАЛЬНЫЕ ЛИТЫЕ","ЛИТОЕ СТАЛЬНОЕ ИЛИ ЧУГУННОЕ ЗУБЧАТОЕ КОЛЕСО, ШЕСТЕРНЯ","КОЛЕСО СПИНЕРА, ВЕНЕЦ ЗУБЧАТЫЙ ","5%","",""
"21","8483608000","МУФТЫ И УСТРОЙСТВА ДЛЯ СОЕДИНЕНИЯ ВАЛОВ (ВКЛЮЧАЯ УНИВЕРСАЛЬНЫЕ ШАРНИРЫ), ПРОЧИЕ (КР. ЧУГУННЫЕ ЛИТЫЕ ИЛИ СТАЛЬНЫЕ ЛИТЫЕ)","СТАЛЬНАЯ ИЛИ ЧУГУННАЯ МУФТА (СПОСОБ ИЗГОТОВЛЕНИЯ ПОКОВКА И МЕХ. ОБРАБОТКА)","МУФТА БАРАБАНА МОТАЛКИ, ПОЛУМУФТА ","5%","",""
"22","8483602000","МУФТЫ И УСТРОЙСТВА ДЛЯ СОЕДИНЕНИЯ ВАЛОВ (ВКЛЮЧАЯ УНИВЕРСАЛЬНЫЕ ШАРНИРЫ), ЧУГУННЫЕ ЛИТЫЕ ИЛИ СТАЛЬНЫЕ ЛИТЫЕ","ЛИТАЯ СТАЛЬНАЯ ИЛИ ЧУГУННАЯ МУФТА","ПОЛУМУФТА, МУФТА","5%","",""
"23","8483508000","МАХОВИКИ И ШКИВЫ, ВКЛЮЧАЯ БЛОКИ ШКИВОВ, ПРОЧИЕ (КР. ЧУГУННЫЕ ЛИТЫЕ ИЛИ СТАЛЬНЫЕ ЛИТЫЕ)","СТАЛЬНОЙ ИЛИ ЧУГУННЫЙ МАХОВИК, ШКИВ (СПОСОБ ИЗГОТОВЛЕНИЯ ПОКОВКА И МЕХ. ОБРАБОТКА)","ШКИВ ТОРМОЗНОЙ","5%","",""
"24","8483502000","МАХОВИКИ И ШКИВЫ, ВКЛЮЧАЯ БЛОКИ ШКИВОВ, ЧУГУННЫЕ ЛИТЫЕ ИЛИ СТАЛЬНЫЕ ЛИТЫЕ","ЛИТОЙ СТАЛЬНОЙ ИЛИ ЧУГУННЫЙ МАХОВИК, ШКИВ.","ШКИВ","5%","",""
"25","8483402900","ЗУБЧАТЫЕ ПЕРЕДАЧИ (КРОМЕ ФРИКЦИОННЫХ ПЕРЕДАЧ), ПРОЧИЕ (КР. ЧЕРВЯЧНЫХ ПЕРЕДАЧ)","РЕДУКТОР (СПОСОБ ПЕРЕДАЧИ КРУТЯЩЕГО МОМЕНТА ЗУБЧАТОЕ КОЛЕСО)","РЕДУКТОР СУММИРУЮЩИЙ, РЕДУКТОР,  РЕДУКТОР ПРИВОДА, РЕДУКТОР СПЕЦИАЛЬНЫЙ ","3%","",""
"26","8483402100","ЗУБЧАТЫЕ ПЕРЕДАЧИ (КРОМЕ ФРИКЦИОННЫХ ПЕРЕДАЧ), С ЦИЛИНДРИЧЕСКИМИ ПРЯМОЗУБЫМИ КОЛЕСАМИ И ГЕЛИКОИДАЛЬНЫМИ ЗУБЧАТЫМИ КОЛЕСАМИ","РЕДУКТОР (СПОСОБ ПЕРЕДАЧИ КРУТЯЩЕГО МОМЕНТА  ЦИЛИНДРИЧЕСКИМИ ПРЯМОЗУБЫМИ КОЛЕСАМИ И ГЕЛИКОИДАЛЬНЫМИ ЗУБЧАТЫМИ КОЛЕСАМИ)","РЕДУКТОР ЦДВ-410 СПЕЦИАЛЬНЫЙ","3%","",""
"27","8483402500","ЧЕРВЯЧНЫЕ ПЕРЕДАЧИ","РЕДУКТОР (ЧЕРВЯЧНАЯ ПЕРЕДАЧА) ","","3%","",""
"28","8483405109","КОРОБКИ ПЕРЕДАЧ ПРОЧИЕ","КОРОБКИ ПЕРЕДАЧ","","5%","",""
"29","8483405900","ВАРИАТОРЫ СКОРОСТИ, ПРОЧИЕ (КР. КОРОБКИ ПЕРЕДАЧ)","ВАРИАТОРЫ СКОРОСТИ","","5%","",""
"30","8483308007","ПОДШИПНИКИ СКОЛЬЖЕНИЯ ДЛЯ ВАЛОВ, ПРОЧИЕ","ПОДШИПНИК СКОЛЬЖЕНИЯ","ВТУЛКА ПОДШИПНИКА, 
ВЕРХНЯЯ РАДИАЛЬНАЯ ОПОРА НАРУЖНАЯ, НИЖНЯЯ РАДИАЛЬНАЯ ОПОРА ВНУТРЕННЯЯ","5%","",""
"31","8483303209","КОРПУСА ПОДШИПНИКОВ ДЛЯ ШАРИКОВЫХ ИЛИ РОЛИКОВЫХ ПОДШИПНИКОВ, ПРОЧИЕ","КОРПУС ПОДШИПНИКА","КОРПУС ПОДШИПНИКА","5%","",""
"32","8483109500","ВАЛЫ ТРАНСМИССИОННЫЕ (ВКЛЮЧАЯ КУЛАЧКОВЫЕ И КОЛЕНЧАТЫЕ) И КРИВОШИПЫ, ПРОЧИЕ (КР. ШАРНИРНЫЕ ВАЛЫ, КРИВОШИПЫ И ВАЛЫ КОЛЕНЧАТЫЕ)","ВАЛ ТРАСМИССИОННЫЙ","ВАЛЫ","5%","",""
"33","8483102909","КРИВОШИПЫ И ВАЛЫ КОЛЕНЧАТЫЕ, ПРОЧИЕ, ПРОЧИЕ","КРИВОШИПНЫЙ И КОЛЕНЧАТЫЙ ВАЛ","КРИВОШИПНЫЙ УЗЕЛ СТАНИНЫ СТАНА ХПТ-66 ","5%","",""
"34","8482990000","ПРОЧИЕ ЧАСТИ ПОДШИПНИКОВ ШАРИКОВЫХ ИЛИ РОЛИКОВЫХ","ЧАСТИ ПОДШИПНИКОВ:ШАРИКИ, РОЛИКИ, ОБОЙМА","ШАРИК, ОБОЙМА ПОДШИПНИКА ОСЕВОГО ","10%, АНТИДЕМПИНГ - 41,5%","",""
"35","8482300009","ПОДШИПНИКИ РОЛИКОВЫЕ СФЕРИЧЕСКИЕ ПРОЧИЕ","РОЛИКОВЫЙ ПОДШИПНИК","ПОДШИПНИК 23264MB/W33","10%, АНТИДЕМПИНГ - 41,5%","",""
"36","8482109008","ПОДШИПНИКИ ШАРИКОВЫЕ ПРОЧИЕ, ПРОЧИЕ","ШАРИКОВЫЙ ПОДШИПНИК","","10%, АНТИДЕМПИНГ - 41,5%","",""
"37","8481900000","ЧАСТИ КРАНОВ, КЛАПАНОВ, ВЕНТИЛЕЙ И АНАЛОГИЧНОЙ АРМАТУРЫ ДЛЯ ТРУБОПРОВОДОВ, КОТЛОВ, РЕЗЕРВУАРОВ, ЦИСТЕРН, БАКОВ ИЛИ АНАЛОГИЧНЫХ ЕМКОСТЕЙ, ВКЛЮЧАЯ РЕДУКЦИОННЫЕ И ТЕРМОРЕГУЛИРУЕМЫЕ КЛАПАНЫ","КЛАПАННЫЙ УЗЕЛ, КОРПУС ТЕРМОСТАТА, СЕДЛО ШАРОВОЕ, ШАР, МАХОВИК КЛИНОВОЙ ЗАДВИЖКИ, ПОРШЕНЬ КЛАПАНА","ЧАСТИ ШАРОВОГО КРАНА ТРУБОПРОВОДНОГО:СЕДЛО ШАРОВОЕ, ШАР ","6%","",""
"38","8481806390","ЗАДВИЖКИ ИЗ СТАЛИ, ПРОЧИЕ","ШИБЕРНАЯ ЗАДВИЖКА","ЗАДВИЖКА PFF 65Х70 С ОТВЕТНЫМИ ФЛАНЦАМИ 65-70 ПО ГОСТ 28919 (КОФ)","7.5%","",""
"39","8481309908","КЛАПАНЫ ОБРАТНЫЕ (НЕВОЗВРАТНЫЕ), ПРОЧИЕ, ПРОЧИЕ","КЛАПАН ОБРАТНЫЙ (НЕ ЛИТОЙ)","КЛАПАН ОБРАТНЫЙ Р-120.73.000 СБ И ДР.","7%","",""
"40","8481309108","КЛАПАНЫ ОБРАТНЫЕ (НЕВОЗВРАТНЫЕ), ИЗ ЛИТЕЙНОГО ЧУГУНА ИЛИ СТАЛИ, ПРОЧИЕ","ЛИТОЙ СТАЛЬНОЙ ИЛИ ЧУГУННЫЙ КЛАПАН ОБРАТНЫЙ ","","7%","",""
"41","8479907000","ЧАСТИ ПРОЧИЕ, ДЛЯ МАШИН И МЕХАНИЧЕСКИХ ПРИСПОСОБЛЕНИЙ ПРОЧИХ, ИМЕЮЩИМ ИНДИВИДУАЛЬНЫЕ ФУНКЦИИ","","КОРПУС НИЖНИЙ 17.02-02 ZQ162-50 II, СПИНОР (ВРАЩАТЕЛЬ) ГИДРАВЛИЧЕСКОГО КЛЮЧА YCZ, ОПОРА-ТЕЛЕЖКА С РОЛИКАМИ ГИДРАВЛИЧЕСКОГО КЛЮЧА YCZ","0%","",""
"42","8479899707","МАШИНЫ И МЕХАНИЧЕСКИЕ ПРИСПОСОБЛЕНИЯ ПРОЧИЕ, ИМЕЮЩИЕ ИНДИВИДУАЛЬНЫЕ ФУНКЦИИ, ПРОЧИЕ","КГС","КОМПОНОВКА ГИДРОРАЗРЫВА СЕЛЕКТИВНАЯ КГС-114","0%","",""
"43","8474909000","ПРОЧИЕ ЧАСТИ ДЛЯ ОБОРУДОВАНИЯ ДЛЯ СОРТИРОВКИ, ГРОХОЧЕНИЯ, СЕПАРАЦИИ, ПРОМЫВКИ, ИЗМЕЛЬЧЕНИЯ, РАЗМАЛЫВАНИЯ, СМЕШИВАНИЯ ИЛИ ПЕРЕМЕШИВАНИЯ ГРУНТА, КАМНЯ, РУД ИЛИ ДРУГИХ МИНЕРАЛЬНЫХ ИСКОПАЕМЫХ В ТВЕРДОМ СОСТОЯНИИ (ЧАСТИ ЩЕКОВОЙ ДРОБИЛКИ, МЕЛЬНИЦЫ)","(ЧАСТИ ЩЕКОВОЙ ДРОБИЛКИ, МЕЛЬНИЦЫ)","УПОР ЗАДНИЙ ДРОБИЛКИ, ВТУЛКА, ВТУЛКА-ЭКСЦЕНТРИК ","0%","",""
"44","8466940000","ЧАСТИ И ПРИНАДЛЕЖНОСТИ К СТАНКАМ ТОВАРНОЙ ПОЗИЦИИ 8462 ИЛИ 8463 (ЧАСТИ ПРЕССОВОГО ОБОРУДОВАНИЯ, ПРАВИЛЬНОЙ МАШИНЫ, ЛИНИИ ПРОДОЛЬНОЙ РЕЗКИ МЕТАЛЛА)"," (ЧАСТИ ПРЕССОВОГО ОБОРУДОВАНИЯ, ПРАВИЛЬНОЙ МАШИНЫ, ЛИНИИ ПРОДОЛЬНОЙ РЕЗКИ МЕТАЛЛА)","БАНДАЖ, РЕЙКА НИЖНЯЯ, УГОЛЬНИК В СБОРЕ, УСТАНОВКА КЛАПАНОВ, ПОЛЗУН ОТРЕЗНОЙ, ПЛУНЖЕР, КОРПУС","0%","",""
"45","8466209100","ПРОЧИЕ ПРИСПОСОБЛЕНИЯ ДЛЯ КРЕПЛЕНИЯ ОБРАБАТЫВАЕМЫХ ДЕТАЛЕЙ ДЛЯ ТОКАРНЫХ СТАНКОВ","ПАТРОН, ЛЮНЕТ","ЛЮНЕТ НТС125300 Ф100-Ф600, ТРЕХКУЛАЧКОВЫЙ ПАТРОН К11400С/С11","0%","",""
"46","8457109008","ЦЕНТРЫ ОБРАБАТЫВАЮЩИЕ ПРОЧИЕ","СТАНОК ДЛЯ ФРЕЗЕРОВАНИЯ, СВЕРЛЕНИЯ, РАЗВЁРТЫВАНИЯ, РАСТАЧИВАНИЯ,","ЦЕНТР МЕХАНИЧЕСКОЙ ОБРАБОТКИ VMC1600B","7%","",""
"47","8455900000","ЧАСТИ ПРОЧИЕ К ПРОКАТНЫМ СТАНАМ И ВАЛКАМ ДЛЯ НИХ","(НЕОТЪЕМЛЕМАЯ ЧАСТЬ ПРОКАТНОГО СТАНА: КЛЕТЬ, РОЛИКИ)","ВТУЛКА ШЕЙКИ, РОЛИК, ГИЛЬЗА9, ОСЬ РОЛИКОВ ГИБКИ (ЦЕНТРАЛЬНАЯ), ВИЛКА ПРАВАЯ, РОЛИК РОЛЬГАНГА ЧЕРТЕЖ, СТЕНКА, ЛОПАСТЬ, БУКСА ПРИВОДНАЯ, СТЕБЕЛЬ, ПРОВОДКА НИЖНЯЯ, ПРОВОДКА, РЫЧАГ С КРЫШКОЙ, ПАТРОН НОЖА НИЖНЕГО, ОСЬ САЛАЗОК, КЛЕТЬ ШЕСТЕРЕННАЯ, ЦИЛИНДР, ПОЛЗУН СУППОРТ, ОПРАВКА, РЫЧАГ ВЕРХНИЙ, ТОЛКАТЕЛЬ, СКРЕБОК","0%","",""
"48","8455309000","ВАЛКИ ДЛЯ ПРОКАТНЫХ СТАНОВ ПРОЧИЕ","СТАЛЬНОЙ ВАЛОК ЛИТОЙ","","0%","",""
"49","8455303909","РАБОЧИЕ ВАЛКИ ДЛЯ ХОЛОДНОЙ ПРОКАТКИ, ПРОЧИЕ","СТАЛЬНОЙ ВАЛОК КОВАННЫЙ","","5%","",""
"50","8455303901","РАБОЧИЕ ВАЛКИ ДЛЯ ХОЛОДНОЙ ПРОКАТКИ, СОДЕРЖАЩИЕ НЕ МЕНЕЕ 4,7 МАС.% ХРОМА","СТАЛЬНОЙ ВАЛОК КОВАННЫЙ","","0%","",""
"51","8455303109","ПРОЧИЕ РАБОЧИЕ ВАЛКИ ДЛЯ ГОРЯЧЕЙ ПРОКАТКИ; ОПОРНЫЕ ВАЛКИ ДЛЯ ГОРЯЧЕЙ И ХОЛОДНОЙ ПРОКАТКИ","СТАЛЬНОЙ ВАЛОК КОВАННЫЙ","","5%","",""
"52","8455303101","РАБОЧИЕ ВАЛКИ ДЛЯ ГОРЯЧЕЙ ПРОКАТКИ; ОПОРНЫЕ ВАЛКИ ДЛЯ ГОРЯЧЕЙ И ХОЛОДНОЙ ПРОКАТКИ НЕТТО-МАССОЙ БОЛЕЕ 180 000 КГ ИЛИ СОДЕРЖАЩИЕ НЕ МЕНЕЕ 4,7 МАС.% ХРОМА","СТАЛЬНОЙ ВАЛОК КОВАННЫЙ","","0%","",""
"53","8455301000","ВАЛКИ ДЛЯ ПРОКАТНЫХ СТАНОВ ИЗ ЧУГУННОГО ЛИТЬЯ","ЧУГУННЫЙ ВАЛОК ЛИТОЙ","ВАЛОК ","0%","",""
"54","8454900000","ЧАСТИ К КОНВЕРТЕРАМ, ЛИТЕЙНЫМ КОВШАМ, ИЗЛОЖНИЦАМ И ЛИТЕЙНЫМ МАШИНАМ, ИСПОЛЬЗУЕМЫМ В МЕТАЛЛУРГИИ И ЛИТЕЙНОМ ПРОИЗВОДСТВЕ (ЧАСТИ МНЛЗ)"," (ЧАСТИ МНЛЗ, ЛИТЕЙНЫХ КОВШЕЙ, ЛИТЕЙНЫХ МАШИН, ИСПОЛЬЗУЕМЫХ В МЕТАЛЛУГИИ)","ПОДВЕСКА СТАЛЬКОВША СТАЛЬКОВШИ И ЧУГУННОЗАЛИВОЧНЫЕ КОВШИ, КОЛЕСО, ТЯГА СТАЛЬКОВША","0%","",""
"55","8431498009","ПРОЧИЕ ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ МАШИН ИЛИ МЕХАНИЗМОВ ТОВАРНОЙ ПОЗИЦИИ 8426, 8429 ИЛИ 8430: ПРОЧИЕ","КОЛЕСО КРАНОВОЕ, УЗЕЛ КРАНОВОГО КОЛЕСА","ЧАСТИ МОСТОВОГО, КОЗЛОВОГО КРАНА:КОЛЕСО ХОДОВОЕ, КОЛЕСО КРАНОВОЕ, КОЛЕСО ХОЛОСТОЕ, КОЛЕСО ХОДОВОЕ ПРИВОДНОЕ","0%","",""
"56","8431430000","ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ БУРИЛЬНЫХ ИЛИ ПРОХОДЧЕСКИХ МАШИН СУБПОЗИЦИИ 8430 41 ИЛИ 8430 49","ПАКЕРНАЯ СИСТЕМА, ВЕРТЛЮГ, НУБТ, КАЛИБРАТОР, ФЛОУСАБ","ПАКЕРНАЯ СИСТЕМА, РОЛИК ХОДОВОЙ, ВЕРТЛЮГ БУРОВОЙ, НУБТ, КАЛИБРАТОР ЛОПАСТНОЙ СПИРАЛЬНЫЙ КЛС, ФЛОУСАБ ДЛЯ ПУЛЬСАТОРА ЗЕНИТ 121, ХОМУТ ПРЕДОХРАНИТЕЛЬНЫЙ","0%","",""
"57","8431390000","ЧАСТИ, ПРЕДНАЗНАЧЕННЫЕ ДЛЯ МАШИН ИЛИ МЕХАНИЗМОВ ТОВАРНОЙ ПОЗИЦИИ 8428, ПРОЧИЕ","ЧАСТИ ОБОРУДОВАНИЯ ДЛЯ ПЕРЕМЕЩЕНИЯ, ПОГРУЗКИ, РАЗГРУЗКИ","БАРАБАН ПРИВОДНОЙ, НАПРАВЛЯЮЩАЯ, КАТОК, СЕКЦИЯ ВЕНЦА, РОЛИК ХОДОВОЙ, ПЛИТА","0%","",""
